Date,Open,High,Low,Close,Adj Close,Volume
01/01/2014,15.42,16.780001,14.9,14.96,8.896545,1003488000
01/02/2014,15,15.49,14.4,15.39,9.225619,712696400
01/03/2014,15.2,15.83,15.03,15.6,9.351509,617354600
01/04/2014,15.67,16.49,15.53,16.15,9.681206,664199500
01/05/2014,16.15,16.559999,15.43,16.440001,9.932066,504923500
01/06/2014,16.51,17.35,16.379999,17.24,10.415377,558700700
01/07/2014,17.34,18.120001,17.01,17.02,10.282467,618952400
01/08/2014,17.049999,17.52,16.719999,17.41,10.59345,420844900
01/09/2014,17.48,17.870001,14.49,14.79,8.999259,655672700
01/10/2014,14.77,14.83,13.26,14.09,8.573331,910293700
01/11/2014,14.1,15.84,13.86,15.73,9.656465,602657400
01/12/2014,15.78,16.129999,13.93,15.5,9.51527,593521500
01/01/2015,15.59,15.65,14.3,14.71,9.0303,596890300
01/02/2015,14.75,16.620001,14.74,16.34,10.133296,524690500
01/03/2015,16.34,16.74,15.69,16.139999,10.009261,609978100
01/04/2015,16.16,16.16,15.7,15.8,9.79841,539789600
01/05/2015,15.9,15.94,15.14,15.17,9.496409,428759700
01/06/2015,15.33,15.66,14.78,15.01,9.396249,578382200
01/07/2015,15.14,15.3,14.23,14.83,9.283571,672444200
01/08/2015,14.97,15.04,10.44,13.87,8.771331,596466400
01/09/2015,13.95,14.88,13.01,13.57,8.58161,744638400
01/10/2015,13.76,15.84,13.42,14.81,9.365783,668696500
01/11/2015,14.79,14.9,13.85,14.33,9.154453,443767100
01/12/2015,14.32,14.62,13.4,14.09,9.001134,587975700
01/01/2016,13.87,14,11.2,11.94,7.627646,1087624700
01/02/2016,11.92,12.65,11.02,12.51,8.261317,795878200
01/03/2016,13.01,13.86,12.72,13.5,8.915091,723070900
01/04/2016,13.28,14.22,12.39,13.56,8.954715,736240700
01/05/2016,13.67,13.79,13.02,13.49,9.006743,543642100
01/06/2016,13.43,13.55,12,12.57,8.392493,778155400
01/07/2016,12.88,14.04,12.21,12.66,8.452583,756186500
01/08/2016,12.61,12.62,11.9,12.6,8.504766,726884900
01/09/2016,12.66,12.77,11.93,12.07,8.147026,746043700
01/10/2016,12.06,12.53,11.6,11.74,7.924281,657689600
01/11/2016,11.78,12.5,11.07,11.96,8.173354,736856500
01/12/2016,12.23,13.2,12.08,12.13,8.28953,709201400
01/01/2017,12.2,13.27,12.13,12.36,8.446709,879509200
01/02/2017,12.45,12.77,12.22,12.53,8.700885,586173700
01/03/2017,12.66,12.75,11.41,11.64,8.082866,952495700
01/04/2017,11.64,11.7,11.08,11.47,7.964816,779918200
01/05/2017,11.49,11.54,10.67,11.12,7.825843,932923800
01/06/2017,11.25,11.54,10.91,11.19,7.875104,850617600
01/07/2017,11.36,11.83,10.95,11.22,7.896219,697037000
01/08/2017,11.11,11.2,10.47,11.03,7.862193,760514500
01/09/2017,11.18,12.06,11.14,11.97,8.532228,682274700
01/10/2017,12,12.46,11.87,12.27,8.746067,874278600
01/11/2017,12.4,12.65,11.87,12.52,9.035081,701585400
01/12/2017,12.62,12.81,12.28,12.49,9.013432,597327400
01/01/2018,12.52,13.48,10.9,10.97,7.916519,1142142300
01/02/2018,10.95,11.04,10.19,10.61,7.845283,970377300
01/03/2018,10.65,11.44,10.14,11.08,8.192811,1007233600
01/04/2018,11.06,11.73,10.7,11.24,8.311118,882033000
01/05/2018,11.25,11.74,10.97,11.55,8.654924,701227100
01/06/2018,11.67,12.15,11.03,11.07,8.29524,762713500
01/07/2018,11.02,11.26,9.84,10.04,7.523415,851569700
01/08/2018,10.06,10.1,9.35,9.48,7.203647,858463900
01/09/2018,9.53,9.94,9.09,9.25,7.028875,803729200
01/10/2018,9.43,9.67,8.17,9.55,7.25684,1300409700
01/11/2018,9.54,9.8,8.96,9.41,7.278908,873823100
01/12/2018,9.71,9.85,7.41,7.65,5.917496,956262400
01/01/2019,7.53,9.06,7.48,8.8,6.807055,1004292300
01/02/2019,8.77,8.98,8.16,8.77,6.902034,730016300
01/03/2019,8.85,8.97,8.34,8.78,6.909904,944056400
01/04/2019,8.86,10.5,8.86,10.45,8.224206,938067400
01/05/2019,10.48,10.5,9.32,9.52,7.612485,800091600
01/06/2019,9.62,10.31,9.46,10.23,8.180223,627584700
01/07/2019,10.34,10.56,9.4,9.53,7.620481,891313400
01/08/2019,9.53,9.62,8.7,9.17,7.442057,749401800
01/09/2019,9.18,9.65,9.04,9.16,7.433943,659445200
01/10/2019,9.19,9.32,8.44,8.59,6.971349,888712200
01/11/2019,8.64,9.15,8.64,9.06,7.473454,669268700
01/12/2019,9.08,9.57,8.8,9.3,7.671427,746135500
01/01/2020,9.29,9.42,8.73,8.82,7.275481,1088852400
01/02/2020,8.85,9.24,6.67,6.96,5.838836,1639965500
01/03/2020,7.11,7.34,3.96,4.83,4.051951,2622835900
01/04/2020,4.63,5.75,4.17,5.09,4.270068,1954784400
01/05/2020,5.02,6.09,4.52,5.71,4.790194,1805254600
01/06/2020,5.73,7.74,5.67,6.08,5.100592,2162095800
01/07/2020,6.1,7.06,5.74,6.61,5.545216,1641503600
01/08/2020,6.65,7.38,6.53,6.82,5.721388,1114124800
01/09/2020,6.77,7.4,6.41,6.66,5.587162,1285238800
01/10/2020,6.71,8.35,6.6,7.73,6.484799,1420926300
01/11/2020,7.83,9.5,7.63,9.08,7.617333,1434081400
01/12/2020,9.16,9.49,8.75,8.79,7.374047,1237449300
01/01/2021,8.81,12.15,8.43,10.53,8.833755,1923473000
01/02/2021,10.65,12.4,10.36,11.7,9.815284,1454667900
01/03/2021,11.87,13.62,11.63,12.25,10.276688,1683492600
01/04/2021,12.28,12.99,11.14,11.54,9.681057,1329294700
01/05/2021,11.56,15.05,11.23,14.53,12.189408,1943954700
01/06/2021,14.72,16.450001,14.44,14.86,12.46625,1924494500
01/07/2021,14.91,15.04,12.79,13.95,11.702839,1242506500
01/08/2021,14.02,14.33,12.38,13.03,10.931039,1158184500
01/09/2021,13.03,14.73,12.62,14.16,11.87901,1411980700
01/10/2021,14.26,17.58,13.89,17.08,14.328638,1668673100
01/11/2021,17.5,20.790001,17.07,19.190001,16.098742,2282540600
01/12/2021,19.629999,21.49,18.610001,20.77,17.511961,1850449400
01/01/2022,21.27,25.870001,18.799999,20.299999,17.115686,2907578400
01/02/2022,20.610001,21.049999,15.96,17.559999,14.88161,1826127200
01/03/2022,17.41,18.25,15.51,16.91,14.330754,1749488000
01/04/2022,17.01,17.15,13.9,14.16,12.000207,1341531000
01/05/2022,14.02,15,12.07,13.68,11.670555,1360048800
01/06/2022,13.88,13.97,10.9,11.13,9.495124,1143688600
01/07/2022,11.1,14.79,10.61,14.69,12.532197,1247603800
01/08/2022,14.66,16.68,14.55,15.24,13.001407,1455634600
01/09/2022,15.1,15.74,11.19,11.2,9.650135,1620561600
01/10/2022,11.38,13.51,11.13,13.37,11.519848,1433553600
01/11/2022,13.57,14.67,12.77,13.9,11.976507,1037714100
01/12/2022,14.09,14.36,10.9,11.63,10.125377,1116350600
